,date,team1Name,team2Name,venue,teamType,referee,result,day,month,season,avgLast5ScoresTeam1,avgLast5ScoresAgainstTeam1,avgLast5ScoresTeam2,avgLast5ScoresAgainstTeam2,avgLast5BpsTeam1,avgLast5BpsAgainstTeam1,avgLast5BpsTeam2,avgLast5BpsAgainstTeam2,avgLast5TriesTeam1,avgLast5ConversionsTeam1,avgLast5PenaltiesTeam1,avgLast5DropGoalsTeam1,avgLast5TriesAgainstTeam1,avgLast5ConversionsAgainstTeam1,avgLast5PenaltiesAgainstTeam1,avgLast5DropGoalsAgainstTeam1,avgLast5TriesTeam2,avgLast5ConversionsTeam2,avgLast5PenaltiesTeam2,avgLast5DropGoalsTeam2,avgLast5TriesAgainstTeam2,avgLast5ConversionsAgainstTeam2,avgLast5PenaltiesAgainstTeam2,avgLast5DropGoalsAgainstTeam2,targetCode,wonLastGameTeam1,wonLastGameTeam2,team1LastSeasonStanding,team2LastSeasonStanding
0,2014-10-12,Wasps,Bath,Adams Park,home,JP Doyle,W,Sun,Oct,2014-15,24.0,23.8,34.4,17.6,0.6,0.4,0.6,0.4,2.8,2.0,2.0,0.0,2.4,2.0,2.2,0.4,3.8,3.2,2.8,0.2,2.2,1.8,1.0,0.0,1,0.0,1,7,5
601,2014-11-14,Exeter,Northampton,Franklin's Gardens,away,Dean Richards,W,Fri,Nov,2014-15,29.8,22.4,28.8,15.2,0.6,0.2,0.8,0.4,2.8,2.2,3.8,0.0,2.4,1.6,2.4,0.0,3.2,2.8,2.4,0.0,1.4,1.4,1.8,0.0,1,1.0,1,8,2
190,2014-11-14,Harlequins,Gloucester,Kingsholm,away,Andrew Small,W,Fri,Nov,2014-15,21.4,24.0,31.2,21.2,0.4,0.2,0.6,0.4,2.2,2.2,1.8,0.2,2.0,1.6,3.6,0.0,3.4,2.6,3.0,0.0,2.0,1.4,2.8,0.0,1,0.0,0,4,9
272,2014-11-14,Gloucester,Harlequins,Kingsholm,home,Andrew Small,L,Fri,Nov,2014-15,31.2,21.2,21.4,24.0,0.6,0.4,0.4,0.2,3.4,2.6,3.0,0.0,2.0,1.4,2.8,0.0,2.2,2.2,1.8,0.2,2.0,1.6,3.6,0.0,0,0.0,0,9,4
103,2014-11-14,Northampton,Exeter,Franklin's Gardens,home,Dean Richards,L,Fri,Nov,2014-15,28.8,15.2,29.8,22.4,0.8,0.4,0.6,0.2,3.2,2.8,2.4,0.0,1.4,1.4,1.8,0.0,2.8,2.2,3.8,0.0,2.4,1.6,2.4,0.0,0,1.0,1,2,8
1,2014-11-15,Newcastle,Bath,The Recreation Ground,away,Ian Tempest,L,Sat,Nov,2014-15,19.6,23.4,33.0,19.4,0.2,0.6,0.8,0.4,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,0,1.0,0,11,5
440,2014-11-15,Sale,London Irish,AJ Bell Stadium,home,Matthew Carley,W,Sat,Nov,2014-15,25.4,27.8,22.0,27.2,0.6,0.4,0.6,0.6,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,1,0.0,0,6,10
683,2014-11-15,London Irish,Sale,AJ Bell Stadium,away,Matthew Carley,L,Sat,Nov,2014-15,22.0,27.2,25.4,27.8,0.6,0.6,0.6,0.4,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,0,0.0,0,10,6
518,2014-11-15,Bath,Newcastle,The Recreation Ground,home,Ian Tempest,W,Sat,Nov,2014-15,33.0,19.4,19.6,23.4,0.8,0.4,0.2,0.6,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,1,0.0,1,5,11
354,2014-11-16,Saracens,Leicester,Welford Road,away,Tim Wigglesworth,D,Sun,Nov,2014-15,30.8,18.6,16.2,27.2,0.2,0.6,0.2,0.6,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,0,1.0,1,1,3
853,2014-11-16,London Welsh,Wasps,Adams Park,away,Thomas Foley,L,Sun,Nov,2014-15,9.4,44.0,24.2,21.4,0.2,0.8,0.4,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,0,0.0,1,13,7
501,2014-11-16,Wasps,London Welsh,Adams Park,home,Thomas Foley,W,Sun,Nov,2014-15,24.2,21.4,9.4,44.0,0.4,0.4,0.2,0.8,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,1,1.0,0,7,13
765,2014-11-16,Leicester,Saracens,Welford Road,home,Tim Wigglesworth,D,Sun,Nov,2014-15,16.2,27.2,30.8,18.6,0.2,0.6,0.2,0.6,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,0,1.0,1,3,1
273,2014-11-21,Sale,Harlequins,Twickenham Stoop,away,Thomas Foley,W,Fri,Nov,2014-15,27.2,22.6,25.8,19.2,0.4,0.4,0.4,0.4,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,1,1.0,1,6,4
519,2014-11-21,Gloucester,Newcastle,Kingston Park,away,Tim Wigglesworth,L,Fri,Nov,2014-15,27.4,20.2,18.8,24.0,0.8,0.0,0.0,0.6,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,0,0.0,0,9,11
684,2014-11-21,Harlequins,Sale,Twickenham Stoop,home,Thomas Foley,L,Fri,Nov,2014-15,25.8,19.2,27.2,22.6,0.4,0.4,0.4,0.4,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,0,1.0,1,4,6
191,2014-11-21,Newcastle,Gloucester,Kingston Park,home,Tim Wigglesworth,W,Fri,Nov,2014-15,18.8,24.0,27.4,20.2,0.0,0.6,0.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,1,0.0,0,11,9
2,2014-11-22,London Irish,Bath,Madejski Stadium,home,Andrew Small,L,Sat,Nov,2014-15,19.6,30.8,27.0,17.0,0.6,0.6,0.6,0.2,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,0,0.0,1,10,5
441,2014-11-22,Bath,London Irish,Madejski Stadium,away,Andrew Small,W,Sat,Nov,2014-15,27.0,17.0,19.6,30.8,0.6,0.2,0.6,0.6,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,1,1.0,0,5,10
854,2014-11-22,Exeter,Wasps,Sandy Park,home,Ian Tempest,W,Sat,Nov,2014-15,30.6,21.2,34.4,19.6,0.4,0.4,0.6,0.2,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,1,1.0,1,8,7
104,2014-11-22,Wasps,Exeter,Sandy Park,away,Ian Tempest,L,Sat,Nov,2014-15,34.4,19.6,30.6,21.2,0.6,0.2,0.4,0.4,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,0,1.0,1,7,8
502,2014-11-23,Leicester,London Welsh,Kassam Stadium,away,Dean Richards,W,Sun,Nov,2014-15,15.6,27.4,5.6,47.6,0.2,0.4,0.0,0.8,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,1,0.0,0,3,13
355,2014-11-23,London Welsh,Leicester,Kassam Stadium,home,Dean Richards,L,Sun,Nov,2014-15,5.6,47.6,15.6,27.4,0.0,0.8,0.2,0.4,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0,0.0,1,13,3
766,2014-11-23,Northampton,Saracens,Allianz Park,away,Matthew Carley,W,Sun,Nov,2014-15,29.2,16.0,27.2,22.8,0.8,0.4,0.2,0.6,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,1,0.0,1,2,1
602,2014-11-23,Saracens,Northampton,Allianz Park,home,Matthew Carley,L,Sun,Nov,2014-15,27.2,22.8,29.2,16.0,0.2,0.6,0.8,0.4,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,0,0.0,0,1,2
274,2014-11-28,Bath,Harlequins,The Recreation Ground,home,Wayne Barnes,W,Fri,Nov,2014-15,24.6,21.6,23.0,17.8,0.4,0.2,0.6,0.2,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,1,1.0,0,5,4
3,2014-11-28,Harlequins,Bath,The Recreation Ground,away,Wayne Barnes,L,Fri,Nov,2014-15,23.0,17.8,24.6,21.6,0.6,0.2,0.4,0.2,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,0,0.0,1,4,5
767,2014-11-29,Exeter,Saracens,Sandy Park,home,Greg Garner,W,Sat,Nov,2014-15,31.8,19.8,24.8,22.6,0.4,0.2,0.4,0.2,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,1,1.0,0,8,1
356,2014-11-29,Wasps,Leicester,Welford Road,away,Luke Pearce,L,Sat,Nov,2014-15,32.8,20.6,20.8,19.4,0.4,0.2,0.4,0.2,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,0,0.0,1,7,3
105,2014-11-29,Saracens,Exeter,Sandy Park,away,Greg Garner,L,Sat,Nov,2014-15,24.8,22.6,31.8,19.8,0.4,0.2,0.4,0.2,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,0,0.0,1,1,8
855,2014-11-29,Leicester,Wasps,Welford Road,home,Luke Pearce,W,Sat,Nov,2014-15,20.8,19.4,32.8,20.6,0.4,0.2,0.4,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1,1.0,0,3,7
192,2014-11-30,London Irish,Gloucester,Madejski Stadium,home,Matthew Carley,L,Sun,Nov,2014-15,17.8,30.2,25.0,19.2,0.2,0.6,0.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,0,0.0,0,10,9
603,2014-11-30,London Welsh,Northampton,Kassam Stadium,home,Tim Wigglesworth,L,Sun,Nov,2014-15,5.0,43.6,28.4,18.8,0.0,0.8,0.6,0.6,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0,0.0,1,13,2
520,2014-11-30,Sale,Newcastle,Kingston Park,away,Dean Richards,W,Sun,Nov,2014-15,21.2,23.4,20.8,19.0,0.2,0.6,0.0,0.4,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,1,1.0,1,6,11
685,2014-11-30,Newcastle,Sale,Kingston Park,home,Dean Richards,L,Sun,Nov,2014-15,20.8,19.0,21.2,23.4,0.0,0.4,0.2,0.6,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,0,1.0,1,11,6
442,2014-11-30,Gloucester,London Irish,Madejski Stadium,away,Matthew Carley,W,Sun,Nov,2014-15,25.0,19.2,17.8,30.2,0.6,0.0,0.2,0.6,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,1,0.0,0,9,10
503,2014-11-30,Northampton,London Welsh,Kassam Stadium,away,Tim Wigglesworth,W,Sun,Nov,2014-15,28.4,18.8,5.0,43.6,0.6,0.6,0.0,0.8,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,1,1.0,0,2,13
106,2014-12-19,Sale,Exeter,AJ Bell Stadium,home,Wayne Barnes,W,Fri,Dec,2014-15,21.0,18.0,30.0,21.0,0.2,0.6,0.4,0.2,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,1,1.0,1,6,8
686,2014-12-19,Exeter,Sale,AJ Bell Stadium,away,Wayne Barnes,L,Fri,Dec,2014-15,30.0,21.0,21.0,18.0,0.4,0.2,0.2,0.6,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,0,1.0,1,8,6
193,2014-12-20,Bath,Gloucester,Kingsholm,away,Greg Garner,W,Sat,Dec,2014-15,24.8,16.6,20.0,19.0,0.4,0.0,0.4,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,1,1.0,1,5,9
768,2014-12-20,London Welsh,Saracens,Allianz Park,away,Ian Tempest,L,Sat,Dec,2014-15,5.8,43.0,20.6,24.2,0.0,0.8,0.2,0.2,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0,0.0,0,13,1
604,2014-12-20,Leicester,Northampton,Franklin's Gardens,away,JP Doyle,L,Sat,Dec,2014-15,20.6,18.2,30.8,16.8,0.2,0.4,0.6,0.4,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,0,1.0,1,3,2
521,2014-12-20,Harlequins,Newcastle,Twickenham Stoop,home,Matthew Carley,W,Sat,Dec,2014-15,21.6,15.6,19.8,15.6,0.6,0.4,0.2,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,1,0.0,0,4,11
504,2014-12-20,Saracens,London Welsh,Allianz Park,home,Ian Tempest,W,Sat,Dec,2014-15,20.6,24.2,5.8,43.0,0.2,0.2,0.0,0.8,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1,0.0,0,1,13
275,2014-12-20,Newcastle,Harlequins,Twickenham Stoop,away,Matthew Carley,L,Sat,Dec,2014-15,19.8,15.6,21.6,15.6,0.2,0.2,0.6,0.4,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,0,0.0,0,11,4
357,2014-12-20,Northampton,Leicester,Franklin's Gardens,home,JP Doyle,W,Sat,Dec,2014-15,30.8,16.8,20.6,18.2,0.6,0.4,0.2,0.4,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,1,1.0,1,2,3
4,2014-12-20,Gloucester,Bath,Kingsholm,home,Greg Garner,L,Sat,Dec,2014-15,20.0,19.0,24.8,16.6,0.4,0.0,0.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,0,1.0,1,9,5
443,2014-12-21,Wasps,London Irish,Ricoh Arena,home,Thomas Foley,W,Sun,Dec,2014-15,29.0,20.6,15.2,30.6,0.4,0.2,0.2,0.4,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,1,0.0,0,7,10
856,2014-12-21,London Irish,Wasps,Ricoh Arena,away,Thomas Foley,L,Sun,Dec,2014-15,15.2,30.6,29.0,20.6,0.2,0.4,0.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,0,0.0,0,10,7
505,2014-12-26,London Irish,London Welsh,Madejski Stadium,home,Greg Garner,W,Fri,Dec,2014-15,16.0,36.4,7.2,48.2,0.0,0.6,0.0,0.8,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1,0.0,0,10,13
444,2014-12-26,London Welsh,London Irish,Madejski Stadium,away,Greg Garner,L,Fri,Dec,2014-15,7.2,48.2,16.0,36.4,0.0,0.8,0.0,0.6,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,0,0.0,0,13,10
5,2014-12-27,Exeter,Bath,The Recreation Ground,away,JP Doyle,L,Sat,Dec,2014-15,27.4,18.8,28.4,17.6,0.4,0.2,0.4,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,0,0.0,1,8,5
276,2014-12-27,Northampton,Harlequins,Twickenham Stadium,away,Wayne Barnes,W,Sat,Dec,2014-15,31.6,18.2,14.2,17.0,0.6,0.4,0.4,0.4,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,1,1.0,1,2,4
107,2014-12-27,Bath,Exeter,The Recreation Ground,home,JP Doyle,W,Sat,Dec,2014-15,28.4,17.6,27.4,18.8,0.4,0.0,0.4,0.2,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,1,1.0,0,5,8
358,2014-12-27,Sale,Leicester,AJ Bell Stadium,home,Tim Wigglesworth,L,Sat,Dec,2014-15,19.6,17.4,21.2,16.2,0.2,0.8,0.4,0.4,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,0,1.0,0,6,3
687,2014-12-27,Leicester,Sale,AJ Bell Stadium,away,Tim Wigglesworth,W,Sat,Dec,2014-15,21.2,16.2,19.6,17.4,0.4,0.4,0.2,0.8,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1,0.0,1,3,6
769,2014-12-27,Newcastle,Saracens,Kingston Park,home,Luke Pearce,L,Sat,Dec,2014-15,15.4,13.8,34.0,21.4,0.2,0.0,0.4,0.2,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,0,0.0,1,11,1
605,2014-12-27,Harlequins,Northampton,Twickenham Stadium,home,Wayne Barnes,L,Sat,Dec,2014-15,14.2,17.0,31.6,18.2,0.4,0.4,0.6,0.4,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0,1.0,1,4,2
522,2014-12-27,Saracens,Newcastle,Kingston Park,away,Luke Pearce,W,Sat,Dec,2014-15,34.0,21.4,15.4,13.8,0.4,0.2,0.2,0.0,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,1,1.0,0,1,11
857,2014-12-28,Gloucester,Wasps,Kingsholm,home,Dean Richards,L,Sun,Dec,2014-15,16.6,23.6,35.8,18.8,0.4,0.0,0.6,0.2,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,0,0.0,1,9,7
194,2014-12-28,Wasps,Gloucester,Kingsholm,away,Dean Richards,W,Sun,Dec,2014-15,35.8,18.8,16.6,23.6,0.6,0.2,0.4,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,1,1.0,0,7,9
523,2015-01-02,Northampton,Newcastle,Franklin's Gardens,home,Ian Tempest,W,Fri,Jan,2014-15,29.0,21.2,15.4,18.2,0.4,0.6,0.4,0.0,3.6,2.2,2.2,0.0,2.8,1.8,1.2,0.0,1.6,1.0,1.8,0.0,1.6,1.2,2.4,0.2,1,1.0,0,2,11
606,2015-01-02,Newcastle,Northampton,Franklin's Gardens,away,Ian Tempest,L,Fri,Jan,2014-15,15.4,18.2,29.0,21.2,0.4,0.0,0.4,0.6,1.6,1.0,1.8,0.0,1.6,1.2,2.4,0.2,3.6,2.2,2.2,0.0,2.8,1.8,1.2,0.0,0,0.0,1,11,2
195,2015-01-03,Exeter,Gloucester,Sandy Park,home,Andrew Small,L,Sat,Jan,2014-15,21.4,20.2,17.0,24.0,0.2,0.4,0.4,0.0,1.8,1.4,3.2,0.0,2.2,1.6,2.0,0.0,1.2,1.0,3.0,0.0,2.0,1.6,3.6,0.0,0,0.0,0,8,9
108,2015-01-03,Gloucester,Exeter,Sandy Park,away,Andrew Small,W,Sat,Jan,2014-15,17.0,24.0,21.4,20.2,0.4,0.0,0.2,0.4,1.2,1.0,3.0,0.0,2.0,1.6,3.6,0.0,1.8,1.4,3.2,0.0,2.2,1.6,2.0,0.0,1,0.0,0,9,8
445,2015-01-03,Saracens,London Irish,Allianz Park,home,Tim Wigglesworth,W,Sat,Jan,2014-15,33.4,21.8,16.0,29.4,0.4,0.2,0.0,0.4,3.6,2.6,3.4,0.0,1.4,0.8,4.4,0.0,1.4,1.2,2.2,0.0,2.8,2.0,3.8,0.0,1,1.0,1,1,10
770,2015-01-03,London Irish,Saracens,Allianz Park,away,Tim Wigglesworth,L,Sat,Jan,2014-15,16.0,29.4,33.4,21.8,0.0,0.4,0.4,0.2,1.4,1.2,2.2,0.0,2.8,2.0,3.8,0.0,3.6,2.6,3.4,0.0,1.4,0.8,4.4,0.0,0,1.0,1,10,1
858,2015-01-04,Sale,Wasps,Ricoh Arena,away,Greg Garner,L,Sun,Jan,2014-15,23.6,15.2,36.0,19.0,0.6,0.8,0.6,0.2,2.8,1.8,2.0,0.0,1.4,0.8,2.2,0.0,4.2,3.0,3.0,0.0,1.4,1.2,3.2,0.0,0,0.0,1,6,7
277,2015-01-04,London Welsh,Harlequins,Kassam Stadium,home,JP Doyle,L,Sun,Jan,2014-15,8.4,48.4,16.0,18.6,0.0,0.8,0.4,0.4,1.0,0.8,0.6,0.0,7.2,5.6,0.4,0.0,1.2,0.8,2.8,0.0,1.8,1.2,2.4,0.0,0,0.0,0,13,4
6,2015-01-04,Leicester,Bath,Welford Road,home,Matthew Carley,W,Sun,Jan,2014-15,23.2,19.0,30.2,14.6,0.6,0.6,0.4,0.0,2.2,1.6,3.0,0.0,1.8,0.8,2.8,0.0,3.2,2.6,2.8,0.2,1.4,1.4,1.6,0.0,1,1.0,1,3,5
